Year,Course,CourseName,ShnatonId,Semester,TestDates
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
2026,67101,מבוא למדעי המחשב ,11615,SemAB,"['2026-07-03T09:00:00', '2026-08-04T09:00:00', '2026-01-26T09:00:00', '2026-02-22T09:00:00']"
2026,67109,מבני נתונים,11145,SemAB,"['2025-12-09T16:00:00', '2025-12-16T16:00:00', '2026-07-29T14:00:00', '2026-08-20T09:00:00', '2026-02-06T09:00:00', '2026-04-16T16:00:00']"
2026,67109,מבני נתונים,11145,SemAB,"['2025-12-09T16:00:00', '2025-12-16T16:00:00', '2026-07-29T14:00:00', '2026-08-20T09:00:00', '2026-02-06T09:00:00', '2026-04-16T16:00:00']"
2026,67125,מבוא לתכנות מונחה עצמים,8897,SemAB,"['2026-01-23T09:00:00', '2026-02-20T09:00:00', '2026-07-06T14:00:00', '2026-08-05T09:00:00']"
2026,67125,מבוא לתכנות מונחה עצמים,8897,SemAB,"['2026-01-23T09:00:00', '2026-02-20T09:00:00', '2026-07-06T14:00:00', '2026-08-05T09:00:00']"
2026,67200,מבנה המחשב,11349,SemB,"['2026-05-29T09:00:00', '2026-07-08T09:00:00', '2026-08-05T09:00:00']"
2026,67312,סדנת תכנות בשפות C ו- ++C,462316,False,[]
2026,67315,סי וסי++ לאלגוריתמיקה מעשית,6657,SemAB,"['2026-07-05T09:00:00', '2026-08-04T14:00:00', '2026-01-25T09:00:00', '2026-02-22T14:00:00']"
2026,67315,סי וסי++ לאלגוריתמיקה מעשית,6657,SemAB,"['2026-07-05T09:00:00', '2026-08-04T14:00:00', '2026-01-25T09:00:00', '2026-02-22T14:00:00']"
2026,67392,מבוא לקריפטוגרפיה ,10399,SemA,"['2026-02-15T09:00:00', '2026-04-27T17:00:00']"
2026,67398,דיני סייבר,15238,SemA,"['2026-02-03T09:00:00', '2026-02-23T09:00:00']"
2026,67465,תכנות תחרותי,23839,SemB,"['2026-08-09T09:00:00', None]"
2026,67468,מציאויות העתיד - טכנולוגיות ועיצוב חדשניים - VR/XR לעידן המטאוורס,5033,False,[]
2026,67504,אלגוריתמים,17917,SemAB,"['2026-02-08T09:00:00', '2026-04-16T16:00:00', '2026-07-30T09:00:00', '2026-08-21T09:00:00', '2026-05-10T15:00:00', '2026-06-21T15:00:00']"
